iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
112,executor,1663952843870,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.031616,None,None,None,20
113,executor,1663952843870,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.128544,None,None,None,20
114,executor,1663952843871,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.272704,None,None,None,20
115,executor,1663952843872,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,1.43808,None,None,None,20
116,executor,1663952843872,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,2.27568,None,None,None,20
117,executor,1663952843873,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.134176,None,None,None,20
118,executor,1663952843873,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.474176,None,None,None,20
119,executor,1663952843874,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.9056,None,None,None,20
120,executor,1663952843874,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.622208,None,None,None,20
121,executor,1663952843875,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,7.512736,None,None,None,20
